date,count
2023-07-28,43
2023-07-29,108
2023-07-30,94
2023-07-31,68
2023-08-01,74
2023-08-02,74
2023-08-03,96
2023-08-04,65
2023-08-05,78
2023-08-06,62
2023-08-07,46
2023-08-08,142
2023-08-09,110
2023-08-10,77
2023-08-11,75
2023-08-12,71
2023-08-13,46
2023-08-14,79
2023-08-15,45
2023-08-16,48
2023-08-17,56
2023-08-18,35
2023-08-19,50
2023-08-20,50
2023-08-21,55
2023-08-22,39
2023-08-23,29
2023-08-24,78
2023-08-25,30
2023-08-26,52
2023-08-27,56
2023-08-28,36
2023-08-29,56
2023-08-30,130
2023-08-31,88
2023-09-01,87
2023-09-02,60
2023-09-03,61
2023-09-04,45
2023-09-05,61
2023-09-06,67
2023-09-07,41
2023-09-08,81
2023-09-09,51
2023-09-10,85
2023-09-11,106
2023-09-12,49
2023-09-13,56
2023-09-14,63
2023-09-15,118
2023-09-16,56
2023-09-17,58
2023-09-18,66
2023-09-19,63
2023-09-20,75
2023-09-21,122
2023-09-22,62
2023-09-23,67
2023-09-24,129
2023-09-25,65
2023-09-26,45
2023-09-27,50
2023-09-28,67
2023-09-29,120
2023-09-30,75
2023-10-01,81
2023-10-02,44
2023-10-03,28
2023-10-04,21
2023-10-05,26
2023-10-06,35
2023-10-07,26
2023-10-08,33
2023-10-09,31
2023-10-10,36
2023-10-11,30
2023-10-12,36
2023-10-13,25
2023-10-14,24
