date,count
2023-08-06,74
2023-08-07,68
2023-08-08,61
2023-08-09,71
2023-08-10,48
2023-08-11,81
2023-08-12,55
2023-08-13,70
2023-08-14,87
2023-08-15,101
2023-08-16,99
2023-08-17,74
2023-08-18,63
2023-08-19,61
2023-08-20,59
2023-08-21,56
2023-08-22,44
2023-08-23,42
2023-08-24,89
2023-08-25,58
2023-08-26,46
2023-08-27,79
2023-08-28,44
2023-08-29,63
2023-08-30,73
2023-08-31,51
2023-09-01,50
2023-09-02,49
2023-09-03,45
2023-09-04,42
2023-09-05,56
2023-09-06,41
2023-09-07,46
2023-09-08,62
2023-09-09,39
2023-09-10,33
2023-09-11,38
2023-09-12,65
2023-09-13,50
2023-09-14,52
2023-09-15,67
2023-09-16,68
2023-09-17,65
2023-09-18,71
2023-09-19,60
2023-09-20,60
2023-09-21,64
2023-09-22,72
2023-09-23,63
2023-09-24,58
2023-09-25,75
2023-09-26,59
2023-09-27,66
2023-09-28,65
2023-09-29,60
2023-09-30,63
2023-10-01,63
2023-10-02,62
2023-10-03,63
2023-10-04,54
2023-10-05,55
2023-10-06,60
2023-10-07,61
2023-10-08,64
2023-10-09,72
2023-10-10,63
2023-10-11,65
2023-10-12,78
2023-10-13,72
2023-10-14,54
