tx_sender,total_txn_gas_spent
0XF0C7A14E4EFA125D18E4ED86D106FBBB6570C220,1818318615933
0XBFBCB584C0C9025BDB69AB9A95B69058D96E6B87,1267494773691
0X57704E0F9F7B423A6D42CBE6DB211AF3F05C3C33,790054482016
0X9611A4FC98A4C6E77A3096A5082006A9DA1B4B75,750134415906
0X356D795EB6FB841E512A99CB1507E8CB599C4134,710968094641
0X9A3BDE27478602791BD7BD9DB1EEDA8D1E276374,710597593944
0X242B14F49C8E00466DD73C7F30F01AD2FF141ACE,681557588603
0X0F28EDC9C19CDEE15437CDDD76AD2FB46153AA75,585789598298
0X2F61714E861AB198F97F0A0629A51DFE437A75C3,566551998873
0X6B05AA85A83027E4A76F136EE395B79404707A28,366565774404
0XE93685F3BBA03016F02BD1828BADD6195988D950,348573373541
0X4156EDBAFC5091507DE2DD2A53DED551A346F83B,243043662923
0XD777384D8AFE7A720F279B9E9963464D56C3C317,223386225248
0XECA649F0F9F95D89FA6D730D3264915329026CF2,215617518247
0X4222730FBFF74461B909E80D5ABF88F0F5F79960,200611035486
0XEA2B4F35B80837BD6C67FC105D1A3B4129E750B7,158103484037
0XF0246C84BB2DCB2C68A17047480A669D59E2F41C,118296743172
0X96F525780182C75B439765A82BD6CDACCB3479C7,114227685296
0XDFF45A3A21F00F7EDFB28816E8589C337421CC91,99944282219
0X77307E4E3EDBA9636DA65452316E1C9605E03006,71928409572
0XF5912370C56C12AB5A074BFB4BC09F65CE20A78A,69757042844
0XC5652C0A6D088A080D69CFE6A21BEDB44F15E894,61217218132
0X53E9FB844DA0B40DC6B2C38F366DFE45E7F00F57,57471158044
0X478B4C6FAC6B99D753E9CE2A0610D508E4FADCA9,57320561360
0X483297D264EDA358492BE53157C45398AB89F68F,57146865095
0XDDE3A0E55AD28420DCA42D4B67864E18E8F32956,57109291557
0XBF731FF577EA917FB7EB69B22DBA97011FB7DB85,56658641593
0X6C90B2374ABB8AE9D299B576E6C86933AD11A05E,55640942501
0XE09348C518C51671A54FCE1F16A1D55EDE6C7C58,49633128284
0X4DE0A0A8CE102189990243FE4F8D6D5F9131F7E2,46781943396
0X5451DB6BCF03A503D58901E9E057EB4EF2F5A003,43907600933
0XC728E910F01B38C2F07191B12A84CACDA4888D9D,40122911569
